FIPS,County,Abrams,Kemp,Metz
13001,Appling,1358,5428,23
13003,Atkinson,637,1876,9
13005,Bacon,489,3321,20
13007,Baker,535,753,5
13009,Baldwin,7793,7735,108
13011,Banks,645,6150,57
13013,Barrow,6900,20162,343
13015,Bartow,8524,28425,410
13017,Ben Hill,1983,3539,25
13019,Berrien,900,5314,38
13021,Bibb,37066,23225,401
13023,Bleckley,1002,3816,42
13025,Brantley,461,5198,35
13027,Brooks,2188,3511,23
13029,Bryan,4313,10507,165
13031,Bulloch,8630,14848,205
13033,Burke,4269,4410,42
13035,Butts,2451,6358,54
13037,Calhoun,1084,810,5
13039,Camden,5727,11139,195
13043,Candler,963,2560,16
13045,Carroll,12180,29204,459
13047,Catoosa,4590,18881,287
13049,Charlton,822,2534,19
13051,Chatham,61059,41425,1059
13053,Chattahoochee,494,603,8
13055,Chattooga,1445,5936,53
13057,Cherokee,28047,76700,1664
13059,Clarke,30427,12365,510
13061,Clay,642,536,8
13063,Clayton,80971,10868,373
13065,Clinch,534,1717,7
13067,Cobb,168767,138852,4195
13069,Coffee,3630,8929,56
13071,Colquitt,3054,9830,79
13073,Columbia,20023,40947,664
13075,Cook,1667,4116,20
13077,Coweta,16908,40471,692
13079,Crawford,1302,3595,37
13081,Crisp,2577,4445,28
13083,Dade,884,4508,70
13085,Dawson,1519,9953,109
13087,Decatur,3615,5492,39
13089,De Kalb,261042,48923,2776
13091,Dodge,1817,5220,24
13093,Dooly,1782,2001,12
13095,Dougherty,21980,9330,115
13097,Douglas,33053,21744,458
13099,Early,1840,2285,10
13101,Echols,126,1008,9
13103,Effingham,5145,17969,257
13105,Elbert,2194,5152,42
13107,Emanuel,2278,5400,38
13109,Evans,1040,2392,15
13111,Fannin,1809,9306,103
13113,Fayette,24796,32497,705
13115,Floyd,8445,21569,324
13117,Forsyth,26092,65845,1361
13119,Franklin,1036,7051,61
13121,Fulton,306589,112991,4208
13123,Gilmer,1917,10471,122
13125,Glascock,107,1189,5
13127,Glynn,11636,20743,269
13129,Gordon,3046,14586,172
13131,Grady,2704,5633,33
13133,Greene,3093,5856,46
13135,Gwinnett,178097,132998,3823
13137,Habersham,2417,12944,139
13139,Hall,17187,49442,777
13141,Hancock,2666,872,10
13143,Haralson,1219,9278,88
13145,Harris,4021,11834,131
13147,Hart,2178,7370,74
13149,Heard,654,3374,27
13151,Henry,56485,41364,709
13153,Houston,24358,34314,560
13155,Irwin,851,2701,10
13157,Jackson,4674,21950,275
13159,Jasper,1484,4430,31
13161,Jeff Davis,814,3979,22
13163,Jefferson,3564,3177,26
13165,Jenkins,1004,1857,11
13167,Johnson,948,2524,11
13169,Jones,3938,8438,65
13171,Lamar,2195,5105,57
13173,Lanier,762,1910,9
13175,Laurens,6375,12484,93
13177,Lee,3356,10120,79
13179,Liberty,9696,5557,115
13181,Lincoln,1188,2756,25
13183,Long,1371,2591,36
13185,Lowndes,15024,20488,241
13187,Lumpkin,2228,9157,173
13189,McDuffie,2652,1556,9
13191,McIntosh,2418,9181,100
13193,Macon,1037,1872,22
13195,Madison,3427,5323,42
13197,Marion,2161,3218,29
13199,Meriwether,3501,5093,56
13201,Miller,502,1803,10
13205,Mitchell,3245,4187,23
13207,Monroe,3516,9308,114
13209,Montgomery,821,2686,21
13211,Morgan,2675,6807,76
13213,Murray,1489,9512,90
13215,Muscogee,38462,24348,462
13217,Newton,23412,19449,280
13219,Oconee,6015,14480,249
13221,Oglethorpe,1847,4568,70
13223,Paulding,19959,40784,562
13225,Peach,4966,5432,47
13227,Pickens,1901,11331,130
13229,Pierce,738,6123,23
13231,Pike,1164,7322,57
13233,Polk,2588,10177,96
13235,Pulaski,1079,2527,16
13237,Putnam,2579,6704,52
13239,Quitman,410,522,8
13241,Rabun,1428,6063,87
13243,Randolph,1518,1257,14
13245,Richmond,47531,22076,548
13247,Rockdale,24725,11703,227
13249,Schley,353,1565,15
13251,Screven,2131,3268,15
13253,Seminole,1061,2149,17
13255,Spalding,9258,14937,222
13257,Stephens,1692,7326,69
13259,Stewart,1053,760,6
13261,Sumter,5360,5149,47
13263,Talbot,1765,1167,22
13265,Taliaferro,568,350,3
13267,Tattnall,1537,5073,37
13269,Taylor,1205,2069,20
13271,Telfair,1191,2425,16
13273,Terrell,2125,1800,14
13275,Thomas,6602,10557,85
13277,Tift,4070,9523,80
13279,Toombs,2201,6623,36
13281,Towns,1065,5009,58
13283,Treutlen,806,1800,8
13285,Troup,9218,14533,162
13287,Turner,1200,2062,12
13289,Twiggs,1776,1999,17
13291,Union,1852,9899,114
13293,Upson,3443,7063,62
13295,Walker,3838,17400,252
13297,Walton,8679,29742,265
13299,Ware,3067,7894,55
13301,Warren,1200,1053,8
13303,Washington,4012,4128,29
13305,Wayne,1940,8120,71
13307,Webster,440,659,1
13309,Wheeler,555,1372,4
13311,White,1647,9667,125
13313,Whitfield,7323,19758,246
13315,Wilcox,745,2064,6
13317,Wilkes,1774,2578,25
13319,Wilkinson,1877,2373,15
13321,Worth,1894,5915,37